acpi 1.8-2
alsa-utils 1.2.15.2-2
amd-ucode 20260309-1
amdctl-git 0.11.r0.ga10ccd0-1
asciiquarium 1.1-7
base 3-3
base-devel 1-2
blueman 2.4.6-2
bluez-utils 5.86-4
bottom 0.12.3-2
brightnessctl 0.5.1-3
cava 0.10.7-1
celluloid 0.29-1
claude-code 2.1.84-1
clock-rs-git r111.geb23ae0-1
cmake 4.3.0-1
cpio 2.15-3
cpupower 6.19.8-1
discord 1:0.0.129-1
dolphin 25.12.3-1
dunst 1.13.1-1
efibootmgr 18-3
evtest 1.36-1
eza 0.23.4-3
fastfetch 2.60.0-1
fd 10.4.2-1
firefox 148.0.2-1
firefoxpwa 2.18.2-1
git 2.53.0-1
gnome-network-displays 0.99.0-1
gpu-screen-recorder 5.12.5-1
grim 1.5.0-2
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.2-1
gst-plugins-bad 1.28.1-1
gvfs 1.58.3-1
happ-desktop-bin 2.2.0-1
htop 3.4.1-1
hypridle 0.1.7-7
hyprland 0.54.2-2
hyprlock 0.9.2-9
hyprpaper 0.8.3-3
hyprpicker 0.4.6-2
hyprshot 1.3.0-4
intel-media-driver 25.4.6-1
iwd 3.12-1
kdeconnect 25.12.3-1
kitty 0.46.2-1
lazygit 0.60.0-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.1-2
libva-intel-driver 2.4.1-6
linux 6.19.9.arch1-1
linux-firmware 20260309-1
lxappearance 0.6.4-3
materia-gtk-theme 20210322-4
mpc 0.35-1
mpd 0.24.9-1
mpd-mpris 0.4.3-1
mpv 1:0.41.0-3
myfetch 1.0.3-3
nano 8.7.1-1
nasm 3.01-1
ncspot 1.3.3-1
neovim 0.11.6-1
network-manager-applet 1.36.0-1
networkmanager 1.56.0-1
npm 11.12.1-1
nwg-look 1.0.6-1
obs-studio 32.1.0-1
opencode 1.3.5-1
pacman-contrib 1.13.1-1
paru 2.1.0-2
paru-debug 2.1.0-2
pavucontrol 1:6.2-1
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
polkit-kde-agent 6.6.3-1
pulsemixer 1.5.1-8
pyprland 3.1.0-0
python-pywal 3.3.0-11
python-pywalfox 2.7.4-1
python312 3.12.13-1
qbittorrent 5.1.4-1
qogir-icon-theme 2025.02.15-1
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.10.2-1
quickshell-git 0.2.0.r79.gcddb4f0-1
reflector 2023-5
rmpc 0.11.0-2
rsync 3.4.1-2
s-tui 1.4.0-1
sasm 3.15.0-1
sddm 0.21.0-6
slurp 1.5.0-1
smartmontools 7.5-1
sof-firmware 2025.12.2-1
spotify 1:1.2.82.428-1
starship 1.24.2-2
steam 1.0.0.85-5
sudo 1.9.17.p2-2
swaybg 1.2.2-1
swaync 0.12.5-1
swww 0.11.2-1
telegram-desktop 6.6.4-1
thunar 4.20.7-1
tlp 1.9.1-1
ttf-jetbrains-mono-nerd 3.4.0-2
tumbler 4.20.1-1
uwsm 0.26.4-1
vim 9.2.0204-1
visual-studio-code-bin 1.109.5-1
vulkan-intel 1:26.0.3-1
vulkan-nouveau 1:26.0.3-1
vulkan-radeon 1:26.0.3-1
waybar 0.15.0-2
wayland-utils 1.3.0-1
wev 1.1.0-1
wget 1.25.0-3
wireless_tools 30.pre9-5
wireplumber 0.5.13-1
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
xdg-desktop-portal-hyprland 1.3.11-3
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.21-1
xorg-xinit 1.4.4-1
yay 12.5.7-1
yay-debug 12.5.7-1
zram-generator 1.2.1-1
